Location_name,Latitude,Longitude,Category,Sub_Category,Literature,Cultural_Significance,Distinctive_Feature,Official_Website
Ankerwycke Yew,51.4448,-0.55651,Ancient Landscape,Ancient Tree,"Ancient male yew (Taxus baccata) growing beside the ruins of St Mary's Priory at Ankerwycke, near Wraysbury, Berkshire. Estimated to be between approximately 1,400 and 2,500 years old, it is one of the oldest trees in England and the oldest tree in the care of the National Trust. The tree has a girth of around 8 metres and displays the hollowing, twisted growth and regenerative form typical of very ancient yews. It stands on slightly raised ground close to the River Thames opposite Runnymede and beside the remains of the twelfth-century Benedictine priory.","The Ankerwycke Yew is one of Britain's most historically significant trees. Tradition holds that it may have witnessed the sealing of Magna Carta in 1215, and some historians consider it a plausible candidate for the location because it stood on dry ground beside the priory close to Runnymede. The tree is also associated with the courtship of Henry VIII and Anne Boleyn, although this story is based on later tradition rather than contemporary evidence. Designated one of the Fifty Great British Trees in 2002, it has become a powerful symbol of continuity, linking modern visitors with more than a millennium of English history.","A botanical giant measuring 26 feet in diameter, it outlived the Benedictine nunnery of St Mary's Priory whose ruins still stand nearby. Yews are symbols of immortality - this one has earned that status.",https://en.wikipedia.org/wiki/Ankerwycke_Yew
Isaac Newton's Apple Tree,52.809083,-0.630833,Ancient Landscape,Ancient Tree,"Historic Flower of Kent apple tree (Malus domestica) growing in the orchard of Woolsthorpe Manor, Lincolnshire, the birthplace and family home of Sir Isaac Newton. The tree is estimated to be more than 400 years old and is believed to be the original tree associated with Newton's observations on falling apples. Although blown down during a storm in 1820, it survived through its root system and regrew, continuing to produce fruit today. The tree is protected and cared for by the National Trust as one of Britain's most famous living trees.","According to Newton's own later recollections, observing an apple fall in the orchard helped inspire his thinking about gravity and the forces governing motion. While the popular story has often been simplified, the tree has become one of the most important symbols in the history of science. It was selected as one of the Great British Trees and has produced numerous descendants planted at universities, scientific institutions and research centres around the world. Fragments, seeds and saplings from the tree have even travelled into space, further cementing its status as an international symbol of scientific discovery.",Possibly the oldest known apple tree in the world still in original ground. The manor where Newton was born and raised in 1642 is open to visitors.,https://en.wikipedia.org/wiki/Isaac_Newton%27s_apple_tree
Tolpuddle Martyrs' Tree,50.748889,-2.296944,Ancient Landscape,Ancient Tree,"Ancient sycamore (Acer pseudoplatanus) growing beside St John's Church in the village of Tolpuddle, Dorset. The tree is estimated to be more than 300 years old and is one of the most recognisable landmarks in the village. It has a broad canopy, substantial trunk and veteran tree characteristics associated with long-term survival in an open village setting. Located close to the church and village green, the tree remains a prominent feature of the historic landscape.","The tree is closely associated with the Tolpuddle Martyrs, six agricultural labourers who met beneath its branches in 1834 while organising a friendly society to protest falling wages and poor working conditions. Their subsequent arrest, trial and transportation to Australia became a defining event in the history of the British trade union movement. The tree has since become an international symbol of workers' rights, social justice and freedom of association. It remains a focal point of the annual Tolpuddle Martyrs Festival and is one of the most important labour movement landmarks in Britain.","A memorial plaque sits beside the tree. The tree itself survived the men's suffering, their return, and nearly two centuries more. It stands as quietly as it did when those men sat beneath it.",https://en.wikipedia.org/wiki/Tolpuddle_Martyrs_Tree
Major Oak,53.204611,-1.0725,Ancient Landscape,Ancient Tree,"Ancient English oak (Quercus robur) growing in Sherwood Forest near Edwinstowe, Nottinghamshire. Estimated to be between 800 and 1,200 years old, it is one of Britain's largest and most famous oak trees. The tree has a trunk circumference of approximately 10–11 metres, a canopy spread of around 28 metres and an estimated weight of 23 tonnes. Its enormous limbs are supported by an extensive system of props and supports installed to help preserve the tree. The Major Oak remains a living veteran tree at the heart of Sherwood Forest National Nature Reserve.","The Major Oak is inseparably linked with the legend of Robin Hood and is traditionally said to have served as a shelter or meeting place for Robin Hood and his Merry Men. Whether the story is historical or folkloric, the association has made the tree one of Britain's most recognisable natural landmarks. Named after the eighteenth-century antiquarian Major Hayman Rooke, the tree has become a symbol of Sherwood Forest and English folklore. It was selected as one of the Fifty Great British Trees, voted Britain's favourite tree in 2002, and continues to attract visitors from around the world. Conservation efforts have been ongoing for more than a century to preserve this iconic survivor of England's medieval woodland landscape.","The most visited tree in England. Its hollow trunk is large enough for several people to stand inside. The weight of its branches long ago exceeded what the tree could bear unaided, yet it endures.",https://en.wikipedia.org/wiki/Major_Oak
Hethel Old Thorn,52.553,1.189,Ancient Landscape,Ancient Tree,"Ancient common hawthorn (Crataegus monogyna) growing near All Saints Church in Hethel, Norfolk. Thought to date from the thirteenth century, it is regarded as one of the oldest surviving hawthorn trees in England and possibly the oldest in East Anglia. The tree now survives as a fragmented, multi-stemmed veteran specimen following centuries of natural decay. Historic measurements recorded a trunk circumference of more than 12 feet and a branch spread of over 31 yards. Today it remains alive, continuing to produce flowers and haws within what is believed to be Britain's smallest nature reserve.","The tree has been recognised as a notable landmark for centuries and was recorded as an ancient tree as early as 1755. Local tradition associates it with gatherings during unrest in the reign of King John, while other folklore claims it originated from the staff of Joseph of Arimathea, a legend attached to several famous thorn trees in Britain. The tree is now protected by the Norfolk Wildlife Trust and has become a symbol of continuity, linking modern Norfolk with its medieval landscape and traditions.","Hawthorn trees rarely live beyond 400 years. This one has been growing for 700. It sits beside the churchyard at Hethel village, where it has watched the world change beyond all recognition.",https://en.wikipedia.org/wiki/Hethel_Old_Thorn
Old Man of Calke,52.7819,-1.4769,Ancient Landscape,Ancient Tree,"Ancient English oak (Quercus robur) growing within the historic deer park at Calke Abbey near Ticknall, Derbyshire. Estimated to be between 1,000 and 1,200 years old, it is one of the oldest surviving oak trees in Britain. The tree has a trunk girth of more than 10 metres and displays extensive veteran features including hollowing, deadwood habitat, splitting and regenerative growth. Although no longer tall, its massive trunk and ancient form make it one of the most important surviving trees in the National Trust's Calke Abbey estate, which contains hundreds of veteran and ancient trees.","The Old Man of Calke is regarded as the symbolic heart of one of Britain's finest ancient wood-pasture landscapes. Standing within the historic parkland of Calke Abbey, the tree was already centuries old before the Norman Conquest and has survived through major periods of English history. In 2006, when Calke Park became a National Nature Reserve, a public competition formally gave the tree its current name. Today it serves as an emblem of the estate's internationally important collection of veteran trees and the long continuity of England's historic parkland landscapes.","A true living sculpture - gnarled, hollow and extraordinary. Rare invertebrates live in its ancient microecosystem. One ancient oak has more biodiversity than a thousand 100-year-old oaks.",https://en.wikipedia.org/wiki/Calke_Abbey
"Spanish Chestnut Avenue, and the Quarry Oak at Croft Castle",52.28631,-2.80597,Ancient Landscape,Ancient Tree,"Ancient avenue of sweet chestnut trees (Castanea sativa) forming part of the historic parkland at Croft Castle, Herefordshire. The trees are thought to date from the late sixteenth or seventeenth century and now survive as a remarkable veteran avenue, many displaying hollow trunks, decay cavities and other ancient tree characteristics. The avenue formed part of the original formal approach to the castle and remains one of the estate's most distinctive landscape features. You can also see the and the 1,000-year-old Quarry Oak.","Local tradition holds that sweet chestnuts from captured Spanish vessels following the defeat of the Spanish Armada were planted at Croft between 1580 and 1680. Another long-standing story suggests that the avenue was laid out to resemble the battle formation of the Armada when viewed from above. Although these claims are difficult to verify, they have become an enduring part of the history and folklore of the estate. Today the avenue is recognised as one of the most important historic tree features at Croft Castle and forms part of the National Trust's Ancient Tree Walk.",The trunks are almost fantasy-like in their size and grotesque contortion. To walk among them is to walk among the aftermath of a defining moment in English history.,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/croft-castle-and-parkland/croft-castle-ancient-tree-walk
"Chained Oak, Dimmingsdale",52.9868,-1.90177,Ancient Landscape,Ancient Tree,"Ancient English oak (Quercus robur) growing in Dimmingsdale near Alton, Staffordshire. Estimated to be approximately 700 years old, the tree is notable for the heavy iron chains wrapped around its trunk and branches. Over the centuries the oak has developed a hollowing trunk, extensive deadwood and the weathered form typical of a veteran tree. Despite the collapse of some major limbs in recent decades, much of the tree survives and remains one of Staffordshire's most distinctive ancient trees.","The Chained Oak is the subject of one of Staffordshire's best-known local legends. According to tradition, an Earl of Shrewsbury refused charity to a beggar who responded by placing a curse on his family: for every branch that fell from the oak, a member of the family would die. Believing the curse to be real after a death allegedly followed the fall of a branch, the Earl ordered the tree's branches to be secured with chains. Whether the story is fact or folklore, the legend has become deeply embedded in local culture and later inspired the ""Hex – The Legend of the Towers"" attraction at nearby Alton Towers. The tree remains an important landmark and a celebrated piece of Staffordshire folklore.","The inspiration for Hex - a major ride at nearby Alton Towers. Walking through the thick woodland to find this chained giant gives an undeniable sense of unease, even for those who know the legend.",https://en.wikipedia.org/wiki/Chained_Oak
"Donkey Tree, Pamber Forest",51.3167,-1.1,Ancient Landscape,Ancient Tree,"Ancient English oak (Quercus robur) growing within Pamber Forest, Hampshire. Estimated to be several centuries old, the tree is a veteran oak with a broad trunk, extensive branching and the hollowing and deadwood features typical of ancient woodland trees. It stands within one of Hampshire's oldest surviving woodland landscapes, an area with a long history of royal ownership and woodland management.","The tree is associated with a local legend from which it takes its name. According to folklore, a traveller tied his donkey to the tree before entering the forest and never returned. The donkey is said to have remained waiting beside the tree until it died, giving rise to the name ""Donkey Tree"". Although the story cannot be verified, it has been passed down through local tradition and forms part of the folklore of Pamber Forest. The tree remains a well-known landmark within this historic woodland.",The Donkey Tree demonstrates the extraordinary power of local narrative to shape landscape. This tree stands because people remembered it.,https://en.wikipedia.org/wiki/Pamber_Forest
"Crinoline Lady Oak, Thorndon Park",51.5833,0.35,Ancient Landscape,Ancient Tree,"Ancient pollarded English oak (Quercus robur) growing within Thorndon Country Park, Essex. The tree is one of the most distinctive veteran oaks in the historic Thorndon deer park and is estimated to be several centuries old. Its unusual flared base creates a broad skirt-like appearance that inspired its name. The oak displays many veteran tree characteristics, including a hollowing trunk, extensive deadwood habitat and the heavy crown typical of old pollarded trees. It forms part of an important landscape of ancient parkland and veteran trees created over generations of estate management.","The tree is one of the best-known landmarks in Thorndon Park and has been admired by visitors for generations. Its name derives from the distinctive swelling around the base of the trunk, which resembles the shape of a Victorian crinoline dress. Local tradition suggests that the unusual form may have developed through centuries of deer rubbing their antlers against the tree while the surrounding landscape functioned as a deer park, although the exact cause remains uncertain. Today the tree is regarded as one of Essex's most recognisable veteran trees and an emblem of Thorndon's historic parkland landscape.","The burring gives the trunk an extraordinary texture - dense, rounded protrusions covering the entire lower half. No two ancient oaks look alike, but this one is genuinely unique.",https://en.wikipedia.org/wiki/Thorndon_Country_Park
