Location_name,Literature,Cultural_Significance,Distinctive_Feature,Latitude,Longitude,Google_Maps_Link,Official_Website,Category,,,,,
Battle of Adwalton Moor 1643,The English Civil War - Diane Purkiss; The English Civil War: A Military History - Peter Gaunt,"The Battle of Adwalton Moor, fought on 30 June 1643 near Bradford in Yorkshire, saw a Parliamentarian force under Lord Fairfax attempt to block a larger royalist army commanded by the Earl of Newcastle. Fairfax's troops were eventually driven from the field after hard fighting in enclosed lanes and open moor, giving the royalists control of most of Yorkshire and threatening Parliament's position in the north. In strategic terms the defeat forced Parliament's northern leaders to retreat towards Hull and helped pave the way for later Scottish intervention on Parliament's side. Casualty estimates vary, but several hundred Parliamentarian soldiers were killed or wounded, with somewhat lighter losses reported on the royalist side, reflecting the Parliamentarian collapse late in the day.","The battlefield lies on rising ground to the south-east of Bradford, where suburban expansion, roads and agricultural land overlap what was once open moor and enclosed fields. Some aspects of the original topography survive in the rolling ground and field boundaries that hint at the lanes and hedged enclosures that shaped the fighting. Access is mainly via public roads and paths rather than a single dedicated visitor site, and interpretation relies heavily on local information and online guides rather than extensive on-site boards. Visitors can reach the general area by car, but reconstructing the battle on the ground requires map reading and some imagination in a landscape that now mixes housing, farmland and remnants of open country.",53.755999,-1.673734,"https://www.google.com/maps?q=53.755999,-1.673734",https://www.battlefieldstrust.com/resource-centre/battleview.asp?BattleFieldId=4,Military,,,,,
Battle of Barnet 1471,The Wars of the Roses - Alison Weir; Blood and Roses - Helen Castor,"The Battle of Barnet, fought on 14 April 1471 just north of London, was a decisive clash in the Wars of the Roses between the Yorkist forces of Edward IV and the Lancastrian army led by Richard Neville, Earl of Warwick, the ìKingmakerî. In thick fog on Easter morning the lines overlapped, causing confusion and even friendly fire among the Lancastrians, and Edwardís troops eventually broke Warwickís army and killed Warwick as he tried to escape, removing the most powerful Lancastrian magnate. This victory secured Edward IVís restoration to the throne and shattered the Lancastrian leadership even before the later Yorkist success at Tewkesbury, helping to stabilise Edwardís regime for the rest of his reign. Contemporary and later estimates differ, but modern summaries usually suggest that between roughly 1,500 and 4,000 men were killed on both sides, reflecting the ferocity of several hours of close?quarters fighting.","The battlefield area at Barnet is now largely covered by modern development on the northern edge of London, where roads, housing and other urban features sit over what was once open heath and common land. Only traces of the original topography, such as gentle ridges and route lines, can be discerned within an essentially suburban landscape, and the exact locations of some phases of the fighting remain debated. There is no single open battlefield park, but commemorative monuments, plaques and local heritage trails mark key points associated with the battle. ",51.660999,-0.197286,"https://www.google.com/maps?q=51.660999,-0.197286",https://www.battlefieldstrust.com/resource-centre/warsoftheroses/battleview.asp?BattleFieldId=5,Military,,,,51.660999,-0.197286
Battle of Blore Heath 1459,Lancaster and York - Alison Weir; The Wars of the Roses: The Fall of the Plantagenets and the Rise of the Tudors - Dan Jones,"The Battle of Blore Heath on 23 September 1459 in Staffordshire was one of the earliest major engagements of the Wars of the Roses, fought between a Yorkist force under Lord Salisbury and a larger Lancastrian army. Despite being outnumbered, the Yorkists chose a strong defensive position behind a stream and used a feigned retreat to lure their opponents into disorderly attacks, inflicting heavy losses on the king's supporters. Although the victory temporarily boosted Yorkist morale and showed that they could defeat larger royal forces in the field, it did not prevent a later political setback at Ludford Bridge and a temporary reassertion of Lancastrian authority. Contemporary chroniclers differ on numbers, but estimates suggest that Lancastrian casualties may have run into the low thousands, including several prominent nobles, while Yorkist losses appear to have been considerably lower.","The Blore Heath battlefield remains largely rural, characterised by open fields, hedgerows and gentle undulating ground crossed by small watercourses and lanes, which still give a sense of how the Yorkists used the terrain to their advantage. The basic pattern of fields and minor roads helps visitors imagine the defensive line behind the stream and the difficulties faced by attacking troops advancing over broken ground. There are minor roads and public rights of way across the area, along with local monuments and plaques commemorating the battle, but no large visitor centre or dense on-site infrastructure. Parking and access points are limited, so visitors should expect a quiet countryside experience where maps, guidebooks and a few markers provide most of the interpretation.",52.912548,-2.424343,"https://www.google.com/maps?q=52.912548,-2.424343",https://www.battlefieldstrust.com/resource-centre/warsoftheroses/battleview.asp?BattleFieldId=6,Military,,,,,
Battle of Boroughbridge 1322,The Reign of Edward II - Natalie Fryde; Edward II - Seymour Phillips,"The Battle of Boroughbridge, fought on 16 March 1322 in North Yorkshire, saw royal forces loyal to King Edward II confront a rebel army led by his cousin Thomas, Earl of Lancaster. The king's troops, using a strong defensive position at the bridge and a nearby ford over the River Ure, blocked Lancaster's attempt to break south, relying on disciplined infantry armed with spears and archers to hold the crossings. The defeat and capture of Lancaster at Boroughbridge ended the rebellion of the northern magnates and allowed Edward II briefly to reassert royal authority, leading to Lancaster's execution and harsh reprisals against his supporters. Medieval sources are imprecise, but the fighting likely caused substantial casualties among the rebels as they were driven back from the bridge and ford under heavy missile fire, while royal losses appear to have been markedly lower.","The battlefield area today centres on the river crossings near the modern town of Boroughbridge, where road bridges, embankments and surrounding development overlay much of the medieval site. Some stretches of riverbank and low-lying ground still hint at the constraints that the water and marshy approaches imposed on medieval troops attempting to force a crossing. There is limited battlefield specific infrastructure, and visitors mostly experience the site as a small town and road junction environment rather than an open heritage landscape. Interpretation relies on local plaques, publications and online resources, with access by main roads and short walks rather than through a dedicated battlefield park.",54.098829,-1.393281,"https://www.google.com/maps?q=54.098829,-1.393281",https://www.battlefieldstrust.com/resource-centre/medieval/battleview.asp?BattleFieldId=7,Military,,,,,
Battle of Bosworth (Field) 1485,Bosworth 1485: The Battle that Transformed England - Michael Jones; The Hollow Crown: The Wars of the Roses and the Rise of the Tudors - Dan Jones,"The Battle of Bosworth Field on 22 August 1485 in Leicestershire brought Henry Tudor's army into conflict with the royal forces of King Richard III in one of the most famous battles of the Wars of the Roses. Henry's forces, supported at a crucial moment by the Stanley family, overcame the royal army, and Richard was killed while leading a final cavalry charge, ending the Plantagenet male line. The victory placed Henry VII on the throne and founded the Tudor dynasty, ushering in a new phase of English monarchy and retrospectively marking a symbolic end to the dynastic civil wars that had dominated much of the fifteenth century. Estimates of casualties vary, but modern historians commonly suggest that several thousand men were killed or wounded in total, with particularly heavy losses among Richard's closest household troops in the final stages of the battle.","The modern Bosworth battlefield is a managed heritage landscape of fields, hedgerows and gentle ridges, reinterpreted after detailed research shifted the focus of the likely fighting from the traditional site. Visitors experience a mixture of open farmland, water features and pathways with views across the surrounding countryside, supported by sculptural markers and viewing platforms that indicate key positions and movements. A visitor centre and museum provide extensive interpretation, including exhibitions on Richard III, Henry Tudor and the wider Wars of the Roses, along with way marked battlefield trails. There is on-site parking, signed routes and information boards, making Bosworth one of the best developed late medieval battlefields in England for those wanting to explore the ground on foot.",52.587567,-1.41687,"https://www.google.com/maps?q=52.587567,-1.41687",https://www.battlefieldstrust.com/resource-centre/warsoftheroses/battleview.asp?BattleFieldId=8,Military,,,,,
Battle of Braddock Down 1643,"The English Civil War: A Military History - Peter Gaunt; Divided Kingdom: Ireland, Scotland and Wales and the British Civil Wars - John Morrill","The Battle of Braddock Down, fought on 19 January 1643 near Liskeard in Cornwall, saw Sir Ralph Hopton's royalist army confront and decisively defeat a Parliamentarian force led by General Ruthin. The Parliamentarian troops, drawn largely from local militias with limited training, broke under pressure from more experienced royalist infantry and cavalry, leaving the West Country increasingly under royalist control in the early phase of the English Civil War. This victory strengthened royalist morale in the region and formed part of a sequence of successes that secured much of Cornwall and Devon for the king before later campaigns shifted the balance. Contemporary accounts describe substantial Parliamentarian losses and large numbers of prisoners, while royalist casualties seem to have been relatively light, though precise figures are not known.","Braddock Down today remains chiefly rural, characterised by open fields, hedgerows and patches of woodland on gently sloping ground typical of inland Cornwall. The general setting retains a strong sense of open countryside, which makes it easier to imagine infantry and cavalry movements across the down despite alterations in field boundaries over time. Modern access is via minor roads and public footpaths, with no major visitor centre or dense interpretation infrastructure on the battlefield itself. Parking is limited to small lay-bys or nearby village areas, so visitors should expect a quiet, undeveloped landscape where guidebooks, maps and online resources provide most of the interpretation.",50.438845,-4.571235,"https://www.google.com/maps?q=50.438845,-4.571235",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=9,Military,,,,,
Battle of Chalgrove 1643,Prince Rupert: The Last Cavalier - Charles Spencer; The English Civil War - Tristram Hunt,"The Battle of Chalgrove Field on 18 June 1643 in Oxfordshire was a sharp cavalry engagement in which Prince Rupert's royalist horse surprised and defeated Parliamentarian forces commanded by Colonel John Urry, with the prominent Parliamentarian leader John Hampden among those mortally wounded. Rupert's raid had set out from Oxford to disrupt Parliament's communications and gather intelligence, and the success at Chalgrove demonstrated again the mobility and aggressiveness of royalist cavalry early in the war. Strategically the action did not transform the wider campaign around Oxford, but Hampden's death deprived Parliament of a respected political figure and was quickly turned into a symbol of sacrifice for the Parliamentary cause. Casualties were modest compared with major set-piece battles, though several dozen Parliamentarian soldiers were killed or wounded alongside Hampden, while royalist losses were relatively light.","The Chalgrove battlefield lies in gently undulating arable farmland with hedged fields and long, open views typical of rural Oxfordshire, though some elements of the seventeenth century landscape have been altered by modern agriculture and minor roads. The open character of the ground still makes it possible to imagine rapid cavalry movements across the fields and lanes where the skirmish unfolded. There is no large visitor centre dedicated solely to the battle, and access is mainly via local roads and public footpaths that cross or run near the site. Interpretation is provided by a small number of local markers and external guides, so visitors generally rely on maps, online resources and guidebook descriptions to understand how the action developed on the ground.",51.676133,-1.065524,"https://www.google.com/maps?q=51.676133,-1.065524",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=10,Military,,,,,
Battle of Cheriton 1644,"The English Civil War: A Military History - Peter Gaunt; God's Fury, England's Fire - Michael Braddick","The Battle of Cheriton, fought on 29 March 1644 near Winchester in Hampshire, set a Parliamentarian army under Sir William Waller against royalist forces commanded by the Earl of Forth and Lord Hopton. After a tense stand-off and confused fighting among fields, lanes and woodland, Parliament won a clear victory, forcing the royalists to abandon their attempt to push into the south east and threatening their hold on the region. Cheriton is often seen as a strategic turning point in the southern theatre of the First Civil War, curbing royalist ambitions and helping to secure Parliament's long term position in the Home Counties and along key routes to London. Estimates suggest that both sides suffered substantial losses, with perhaps a few thousand men killed or wounded in total and the royalists particularly hard hit as their line gave way.","The battlefield around Cheriton remains largely rural, a patchwork of fields, woods and narrow lanes on gently rolling ground in the Hampshire countryside. Surviving woodland blocks and enclosed fields echo features that influenced the original battle, offering a landscape where it is still possible to relate topography to historical accounts of infantry and cavalry manoeuvres. Public footpaths and minor roads provide access through parts of the battlefield, though there is no single large visitor centre focused solely on the engagement. Interpretation is supported by some on-site information and external guides, and visitors generally find parking in nearby villages or lay-bys before exploring the area on foot.",51.061921,-1.15023,"https://www.google.com/maps?q=51.061921,-1.15023",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=11,Military,,,,,
Battle of Cropredy Bridge 1644,The English Civil War: A Military History - Peter Gaunt; The English Civil War - Diane Purkiss,"The Battle of Cropredy Bridge, fought on 29 June 1644 near Banbury in Oxfordshire, pitted King Charles I's royalist army against Parliamentarian forces under Sir William Waller along the River Cherwell. As Waller attempted to catch the royal army in mid movement, a series of confused attacks around the bridge and nearby fords failed to cut off the king's line of retreat, and the royalists ultimately held their positions and preserved their army. Strategically the action was important because it thwarted Parliament's efforts to trap Charles in the Midlands at a time when Parliament hoped to coordinate victories on several fronts, allowing the king to escape what might have been a disastrous encirclement. Casualties were moderate by the standards of the war-probably in the low hundreds on each side-yet the psychological effect was significant, contributing to Waller's loss of reputation after earlier setbacks.","The battlefield at Cropredy Bridge today follows the line of the River Cherwell north of Banbury, where the road bridge, nearby lanes and surrounding fields give a sense of the obstacles that shaped the fighting. Much of the ground remains agricultural, with hedged fields, gentle slopes and river meadows, though modern roads and some development have altered the precise appearance of certain areas. Visitors can walk public footpaths and minor roads that cross or run alongside the historic crossing points, but there is no large dedicated battlefield park or visitor centre. Interpretation is provided mainly by local information, occasional markers and external guides, so exploring the site works best with a map and some background reading to relate features such as the bridge, fords and ridges to the movements of royalist and Parliamentarian troops.",52.111052,-1.301713,"https://www.google.com/maps?q=52.111052,-1.301713",https://www.battlefieldstrust.com/resource-centre/civil-war/battleview.asp?BattleFieldId=2,Military,,,,,
Battle of Edgcote 1469,The Wars of the Roses - Alison Weir; The Wars of the Roses: The Fall of the Plantagenets and the Rise of the Tudors - Dan Jones,"The Battle of Edgcote, fought on 26 July 1469 near Banbury in Northamptonshire, occurred during a rebellion against the Yorkist king Edward IV led by Richard Neville, Earl of Warwick, and Edward's disaffected brother George, Duke of Clarence. A royal army under William Herbert, Earl of Pembroke, and Humphrey Stafford, Earl of Devon, confronted rebel forces associated with Warwick, and after a confused, hard fought engagement the royalists were routed, with Pembroke captured and executed soon afterwards. The defeat at Edgcote gravely weakened Edward's position, allowing Warwick and Clarence to seize the king and briefly dominate the government, and it forms a key moment in the internal Yorkist crisis of the late 1460s. Chronicles suggest that several thousand men may have been killed or wounded, with particularly heavy losses among the Welsh troops serving under Pembroke.","The Edgcote battlefield lies in a largely rural area of fields, hedgerows and gently rolling ground near the River Cherwell, retaining much of its agricultural character despite modern changes in field boundaries and farming patterns. The landscape still includes open views, shallow valleys and lanes that help visitors picture the deployment of fifteenth century infantry and the routes by which troops approached the field. There is no major visitor centre dedicated solely to the battle, and access is mainly via country roads and public footpaths that cross or skirt parts of the site. Interpretation is supported through battlefield guides, local information and a small number of markers, so visitors typically need a map and background reading to relate present day features to the course of the fighting.",52.120763,-1.250064,"https://www.google.com/maps?q=52.120763,-1.250064",https://www.battlefieldstrust.com/resource-centre/warsoftheroses/battleview.asp?BattleFieldId=13,Military,,,,,
